payment_id,customer_id,film_id,store_id,date_id,rental_id,amount,payment_date,last_update
13285,493,758,2,20050727,7026,2.99,2005-07-27T02:48:58.000Z,2006-02-15T22:20:10.000Z
6397,237,994,1,20050728,7812,4.99,2005-07-28T08:06:52.000Z,2006-02-15T22:14:37.000Z
5300,196,430,2,20050729,8266,0.99,2005-07-29T01:20:16.000Z,2006-02-15T22:14:00.000Z
3175,118,657,2,20050727,7196,2.99,2005-07-27T08:49:08.000Z,2006-02-15T22:13:09.000Z
10623,392,406,1,20050711,6061,0.99,2005-07-11T04:06:25.000Z,2006-02-15T22:17:38.000Z
10362,382,659,2,20050820,14009,4.99,2005-08-20T20:26:53.000Z,2006-02-15T22:17:24.000Z
11748,436,916,1,20050706,3944,2.99,2005-07-06T21:34:11.000Z,2006-02-15T22:18:41.000Z
13623,505,154,2,20050822,14802,2.99,2005-08-22T00:48:23.000Z,2006-02-15T22:20:30.000Z
9427,348,616,1,20050820,13602,5.99,2005-08-20T06:02:02.000Z,2006-02-15T22:16:39.000Z
3794,140,864,1,20050817,12086,4.99,2005-08-17T22:20:01.000Z,2006-02-15T22:13:22.000Z
7982,295,428,1,20050617,1935,2.99,2005-06-17T07:14:15.000Z,2006-02-15T22:15:36.000Z
7754,286,970,2,20050817,11670,0.99,2005-08-17T05:48:59.000Z,2006-02-15T22:15:27.000Z
4818,177,803,2,20050818,12623,4.99,2005-08-18T17:34:19.000Z,2006-02-15T22:13:47.000Z
496,19,786,1,20050619,2657,2.99,2005-06-19T10:42:59.000Z,2006-02-15T22:12:33.000Z
5156,190,804,2,20050707,4005,5.99,2005-07-07T00:22:26.000Z,2006-02-15T22:13:56.000Z
14832,553,995,1,20050706,3793,4.99,2005-07-06T14:32:44.000Z,2006-02-15T22:21:49.000Z
8592,317,138,1,20050727,7309,2.99,2005-07-27T13:00:29.000Z,2006-02-15T22:16:00.000Z
13289,493,764,1,20050801,10777,6.99,2005-08-01T21:03:50.000Z,2006-02-15T22:20:10.000Z
1591,57,157,2,20050823,15571,0.99,2005-08-23T05:26:30.000Z,2006-02-15T22:12:44.000Z
10817,400,980,1,20050712,6790,5.99,2005-07-12T16:34:59.000Z,2006-02-15T22:17:48.000Z
1959,72,415,1,20050817,11923,2.99,2005-08-17T16:21:47.000Z,2006-02-15T22:12:48.000Z
8638,319,912,2,20050711,6195,4.99,2005-07-11T12:00:32.000Z,2006-02-15T22:16:02.000Z
7340,271,2,2,20050801,10310,4.99,2005-08-01T04:24:47.000Z,2006-02-15T22:15:10.000Z
148,6,285,1,20050530,916,0.99,2005-05-30T11:25:01.000Z,2006-02-15T22:12:30.000Z
15846,592,37,2,20050615,1479,2.99,2005-06-15T21:13:38.000Z,2006-02-15T22:23:24.000Z
2122,78,176,1,20050711,6005,0.99,2005-07-11T01:36:42.000Z,2006-02-15T22:12:51.000Z
1342,49,277,1,20050711,6279,6.99,2005-07-11T16:26:07.000Z,2006-02-15T22:12:41.000Z
4519,167,835,2,20050615,1416,3.99,2005-06-15T17:44:57.000Z,2006-02-15T22:13:40.000Z
4101,150,338,2,20050819,13116,6.99,2005-08-19T11:31:41.000Z,2006-02-15T22:13:30.000Z
1580,57,733,1,20050729,8249,5.99,2005-07-29T00:48:44.000Z,2006-02-15T22:12:43.000Z
11033,408,633,2,20050525,59,5.99,2005-05-25T08:56:42.000Z,2006-02-15T22:18:00.000Z
12027,446,28,1,20050527,355,4.99,2005-05-27T06:15:33.000Z,2006-02-15T22:18:56.000Z
833,30,578,1,20050728,8030,4.99,2005-07-28T16:12:53.000Z,2006-02-15T22:12:36.000Z
7880,291,35,1,20050710,5754,2.99,2005-07-10T12:32:43.000Z,2006-02-15T22:15:32.000Z
10206,377,735,2,20050620,3136,2.99,2005-06-20T19:39:08.000Z,2006-02-15T22:17:17.000Z
2366,87,880,1,20050710,5628,3.99,2005-07-10T05:56:40.000Z,2006-02-15T22:12:54.000Z
7554,279,866,2,20050531,1019,0.99,2005-05-31T03:05:07.000Z,2006-02-15T22:15:19.000Z
15619,583,138,1,20050706,3779,2.99,2005-07-06T13:46:36.000Z,2006-02-15T22:22:43.000Z
13832,513,814,1,20050820,13690,4.99,2005-08-20T09:07:27.000Z,2006-02-15T22:20:43.000Z
4900,180,118,1,20050729,8540,2.99,2005-07-29T10:52:51.000Z,2006-02-15T22:13:49.000Z
3749,138,499,1,20050821,14432,4.99,2005-08-21T11:36:15.000Z,2006-02-15T22:13:21.000Z
5518,204,563,1,20050530,857,4.99,2005-05-30T02:01:23.000Z,2006-02-15T22:14:06.000Z
12940,479,978,1,20050711,6421,1.99,2005-07-11T23:45:25.000Z,2006-02-15T22:19:49.000Z
13840,514,525,2,20050617,2002,3.99,2005-06-17T11:39:58.000Z,2006-02-15T22:20:44.000Z
14450,536,518,2,20050822,15130,7.99,2005-08-22T13:04:32.000Z,2006-02-15T22:21:23.000Z
15957,596,634,2,20050528,625,0.99,2005-05-28T16:35:46.000Z,2006-02-15T22:23:51.000Z
9852,364,589,2,20050818,12761,1.99,2005-08-18T23:05:22.000Z,2006-02-15T22:16:59.000Z
7240,267,947,1,20050822,15208,3.99,2005-08-22T16:35:47.000Z,2006-02-15T22:15:06.000Z
2142,78,763,1,20050822,14862,7.99,2005-08-22T02:51:41.000Z,2006-02-15T22:12:51.000Z
2659,98,579,2,20050817,11635,5.99,2005-08-17T04:33:17.000Z,2006-02-15T22:12:59.000Z
1645,59,514,2,20050823,15744,4.99,2005-08-23T12:15:51.000Z,2006-02-15T22:12:44.000Z
14570,541,751,2,20050820,13640,0.99,2005-08-20T07:22:53.000Z,2006-02-15T22:21:31.000Z
9465,350,160,2,20050617,2011,3.99,2005-06-17T11:56:09.000Z,2006-02-15T22:16:41.000Z
463,17,252,1,20050820,13732,2.99,2005-08-20T10:24:41.000Z,2006-02-15T22:12:32.000Z
3918,144,709,2,20050821,14159,2.99,2005-08-21T02:45:58.000Z,2006-02-15T22:13:25.000Z
14514,539,676,1,20050709,5086,4.99,2005-07-09T05:40:04.000Z,2006-02-15T22:21:28.000Z
858,31,906,1,20050619,2530,0.99,2005-06-19T01:20:00.000Z,2006-02-15T22:12:36.000Z
12626,468,147,2,20050709,5285,2.99,2005-07-09T15:10:44.000Z,2006-02-15T22:19:30.000Z
4219,155,70,1,20050711,6085,4.99,2005-07-11T05:24:36.000Z,2006-02-15T22:13:32.000Z
11316,418,925,1,20050817,11910,0.99,2005-08-17T15:44:37.000Z,2006-02-15T22:18:18.000Z
14876,555,733,1,20050729,8245,3.99,2005-07-29T00:37:09.000Z,2006-02-15T22:21:52.000Z
1127,41,624,1,20050707,4294,9.99,2005-07-07T15:56:23.000Z,2006-02-15T22:12:38.000Z
8105,298,21,1,20050823,15643,4.99,2005-08-23T08:13:26.000Z,2006-02-15T22:15:41.000Z
10462,386,838,1,20050731,9686,5.99,2005-07-31T06:50:06.000Z,2006-02-15T22:17:29.000Z
13261,492,970,2,20050616,1691,1.99,2005-06-16T12:24:28.000Z,2006-02-15T22:20:08.000Z
623,23,464,1,20050816,11501,2.99,2005-08-16T23:04:53.000Z,2006-02-15T22:12:34.000Z
12715,470,130,2,20050817,11742,0.99,2005-08-17T08:48:43.000Z,2006-02-15T22:19:36.000Z
12006,445,415,2,20050728,7971,4.99,2005-07-28T14:00:47.000Z,2006-02-15T22:18:55.000Z
14536,540,58,2,20050711,6103,2.99,2005-07-11T06:59:55.000Z,2006-02-15T22:21:29.000Z
4158,153,19,2,20050619,2649,0.99,2005-06-19T10:20:09.000Z,2006-02-15T22:13:31.000Z
11280,417,574,2,20050730,9049,2.99,2005-07-30T06:57:28.000Z,2006-02-15T22:18:16.000Z
12367,458,491,2,20050728,7923,3.99,2005-07-28T12:08:29.000Z,2006-02-15T22:19:16.000Z
12471,462,768,1,20050617,1926,9.99,2005-06-17T06:24:30.000Z,2006-02-15T22:19:21.000Z
1025,37,764,2,20050819,13147,4.99,2005-08-19T12:55:09.000Z,2006-02-15T22:12:37.000Z
4161,153,54,2,20050706,3795,0.99,2005-07-06T14:37:41.000Z,2006-02-15T22:13:31.000Z
14423,535,17,2,20050820,13852,0.99,2005-08-20T14:45:23.000Z,2006-02-15T22:21:22.000Z
15967,596,902,2,20050711,6197,4.99,2005-07-11T12:09:51.000Z,2006-02-15T22:23:53.000Z
3226,120,698,2,20050617,1932,2.99,2005-06-17T06:54:41.000Z,2006-02-15T22:13:10.000Z
1721,63,436,2,20050731,9795,0.99,2005-07-31T10:47:19.000Z,2006-02-15T22:12:45.000Z
1896,70,563,1,20050727,7036,4.99,2005-07-27T03:06:12.000Z,2006-02-15T22:12:47.000Z
2999,112,228,2,20050527,396,0.99,2005-05-27T11:47:04.000Z,2006-02-15T22:13:05.000Z
11500,425,894,2,20050819,13040,0.99,2005-08-19T09:04:24.000Z,2006-02-15T22:18:28.000Z
3475,129,664,1,20050621,3219,3.99,2005-06-21T01:43:26.000Z,2006-02-15T22:13:15.000Z
6773,251,235,2,20050729,8443,2.99,2005-07-29T07:33:12.000Z,2006-02-15T22:14:50.000Z
10081,372,704,2,20050820,13871,8.99,2005-08-20T15:10:13.000Z,2006-02-15T22:17:11.000Z
10230,378,980,1,20050616,1623,4.99,2005-06-16T07:48:50.000Z,2006-02-15T22:17:18.000Z
9879,365,238,1,20050820,13619,2.99,2005-08-20T06:39:26.000Z,2006-02-15T22:17:01.000Z
2235,82,234,2,20050730,9447,6.99,2005-07-30T21:54:22.000Z,2006-02-15T22:12:52.000Z
8932,331,348,2,20050525,87,0.99,2005-05-25T13:52:43.000Z,2006-02-15T22:16:15.000Z
14148,526,736,1,20050706,3619,1.99,2005-07-06T05:59:44.000Z,2006-02-15T22:21:04.000Z
4190,154,104,2,20050707,4252,2.99,2005-07-07T14:13:05.000Z,2006-02-15T22:13:32.000Z
897,32,127,1,20050729,8390,5.99,2005-07-29T05:52:26.000Z,2006-02-15T22:12:36.000Z
5614,207,490,1,20050727,7306,5.99,2005-07-27T12:57:26.000Z,2006-02-15T22:14:09.000Z
13622,505,78,2,20050821,14398,2.99,2005-08-21T10:27:21.000Z,2006-02-15T22:20:30.000Z
1483,53,510,1,20060214,14137,0.0,2006-02-14T15:16:03.000Z,2006-02-15T22:12:42.000Z
1507,54,430,2,20050819,12872,0.99,2005-08-19T02:57:37.000Z,2006-02-15T22:12:43.000Z
3179,118,779,2,20050729,8760,7.99,2005-07-29T19:22:40.000Z,2006-02-15T22:13:09.000Z
4929,181,856,2,20050730,9357,8.99,2005-07-30T18:37:00.000Z,2006-02-15T22:13:50.000Z
8803,326,78,1,20050531,1149,3.99,2005-05-31T21:03:17.000Z,2006-02-15T22:16:09.000Z
737,27,376,1,20050731,9636,5.99,2005-07-31T05:12:59.000Z,2006-02-15T22:12:35.000Z
2563,94,777,2,20050707,4287,8.99,2005-07-07T15:37:31.000Z,2006-02-15T22:12:57.000Z
15004,560,166,1,20050729,8861,5.99,2005-07-29T23:47:29.000Z,2006-02-15T22:22:01.000Z
15538,580,738,1,20050707,4169,1.99,2005-07-07T09:39:18.000Z,2006-02-15T22:22:38.000Z
14465,537,514,2,20050727,7179,2.99,2005-07-27T08:10:29.000Z,2006-02-15T22:21:24.000Z
2811,104,377,1,20050709,5376,1.99,2005-07-09T18:54:08.000Z,2006-02-15T22:13:02.000Z
3698,137,220,2,20050730,8954,2.99,2005-07-30T03:25:51.000Z,2006-02-15T22:13:20.000Z
6393,237,883,2,20050708,4844,4.99,2005-07-08T18:28:13.000Z,2006-02-15T22:14:37.000Z
10121,373,720,1,20050822,15068,3.99,2005-08-22T10:50:13.000Z,2006-02-15T22:17:13.000Z
15100,563,737,2,20050823,15638,3.99,2005-08-23T07:54:54.000Z,2006-02-15T22:22:07.000Z
2387,87,243,2,20060214,12719,4.99,2006-02-14T15:16:03.000Z,2006-02-15T22:12:54.000Z
10703,395,813,2,20050709,5087,0.99,2005-07-09T05:44:28.000Z,2006-02-15T22:17:42.000Z
1522,55,897,1,20050711,6314,7.99,2005-07-11T18:32:44.000Z,2006-02-15T22:12:43.000Z
14075,522,50,1,20050823,15921,6.99,2005-08-23T18:06:54.000Z,2006-02-15T22:20:59.000Z
6623,245,970,2,20050526,241,0.99,2005-05-26T12:49:01.000Z,2006-02-15T22:14:45.000Z
1990,73,486,1,20050820,13886,4.99,2005-08-20T15:34:43.000Z,2006-02-15T22:12:49.000Z
243,9,445,2,20050728,7801,2.99,2005-07-28T07:51:56.000Z,2006-02-15T22:12:31.000Z
1084,39,880,1,20050729,8805,2.99,2005-07-29T21:29:58.000Z,2006-02-15T22:12:38.000Z
15003,560,296,1,20050729,8753,2.99,2005-07-29T19:15:50.000Z,2006-02-15T22:22:01.000Z
12611,468,134,2,20050525,101,6.99,2005-05-25T17:17:04.000Z,2006-02-15T22:19:30.000Z
11710,434,99,2,20050817,12030,2.99,2005-08-17T20:10:48.000Z,2006-02-15T22:18:39.000Z
7417,274,486,1,20050730,9331,4.99,2005-07-30T17:46:50.000Z,2006-02-15T22:15:13.000Z
8928,330,788,1,20050818,12394,2.99,2005-08-18T09:05:15.000Z,2006-02-15T22:16:15.000Z
7168,265,167,2,20050729,8278,5.99,2005-07-29T01:42:55.000Z,2006-02-15T22:15:04.000Z
1460,53,744,2,20050617,1964,0.99,2005-06-17T09:10:09.000Z,2006-02-15T22:12:42.000Z
392,15,657,1,20050711,5975,2.99,2005-07-11T00:14:19.000Z,2006-02-15T22:12:32.000Z
2580,95,663,1,20050621,3426,0.99,2005-06-21T18:12:10.000Z,2006-02-15T22:12:58.000Z
1395,51,64,2,20050615,1373,1.99,2005-06-15T14:48:04.000Z,2006-02-15T22:12:41.000Z
9182,339,365,1,20050821,14636,4.99,2005-08-21T18:59:17.000Z,2006-02-15T22:16:27.000Z
9564,354,692,2,20050710,5873,3.99,2005-07-10T19:02:10.000Z,2006-02-15T22:16:46.000Z
10914,404,451,2,20050619,2715,4.99,2005-06-19T14:29:35.000Z,2006-02-15T22:17:54.000Z
15254,569,596,1,20050819,13287,7.99,2005-08-19T18:28:24.000Z,2006-02-15T22:22:18.000Z
540,20,989,2,20050822,15057,6.99,2005-08-22T10:19:58.000Z,2006-02-15T22:12:33.000Z
3213,119,19,1,20050821,14349,3.99,2005-08-21T08:54:53.000Z,2006-02-15T22:13:10.000Z
5287,196,489,2,20050616,1600,0.99,2005-06-16T06:04:12.000Z,2006-02-15T22:14:00.000Z
1903,70,846,1,20050817,12003,4.99,2005-08-17T18:56:05.000Z,2006-02-15T22:12:48.000Z
5984,221,204,1,20050709,5058,5.99,2005-07-09T04:20:35.000Z,2006-02-15T22:14:20.000Z
8222,303,366,1,20050620,3077,3.99,2005-06-20T15:05:18.000Z,2006-02-15T22:15:45.000Z
14289,531,260,2,20050712,6756,4.99,2005-07-12T15:08:28.000Z,2006-02-15T22:21:13.000Z
3704,137,804,1,20050731,10175,6.99,2005-07-31T23:40:11.000Z,2006-02-15T22:13:20.000Z
14714,548,951,2,20050620,2978,0.99,2005-06-20T08:25:16.000Z,2006-02-15T22:21:41.000Z
4489,166,921,1,20050615,1412,2.99,2005-06-15T17:09:48.000Z,2006-02-15T22:13:39.000Z
6622,245,726,2,20050525,79,4.99,2005-05-25T12:11:07.000Z,2006-02-15T22:14:45.000Z
7387,273,231,1,20050731,9693,3.99,2005-07-31T07:11:50.000Z,2006-02-15T22:15:12.000Z
15207,567,683,2,20050822,15074,5.99,2005-08-22T11:02:52.000Z,2006-02-15T22:22:15.000Z
9162,339,976,1,20050708,4467,0.99,2005-07-08T00:13:52.000Z,2006-02-15T22:16:26.000Z
13009,482,901,1,20050528,680,2.99,2005-05-28T23:27:26.000Z,2006-02-15T22:19:53.000Z
15162,566,395,1,20050706,3943,0.99,2005-07-06T21:22:17.000Z,2006-02-15T22:22:11.000Z
3488,129,77,2,20050731,9983,7.99,2005-07-31T17:09:36.000Z,2006-02-15T22:13:15.000Z
11639,431,678,1,20050820,13784,4.99,2005-08-20T12:11:28.000Z,2006-02-15T22:18:35.000Z
2572,94,827,1,20050822,14865,4.99,2005-08-22T03:06:38.000Z,2006-02-15T22:12:57.000Z
8257,304,70,2,20050712,6737,4.99,2005-07-12T14:16:52.000Z,2006-02-15T22:15:47.000Z
15738,588,421,2,20050617,1903,6.99,2005-06-17T04:37:20.000Z,2006-02-15T22:22:58.000Z
13910,516,635,2,20050823,15526,0.99,2005-08-23T03:44:30.000Z,2006-02-15T22:20:48.000Z
12393,459,159,2,20050728,7717,4.99,2005-07-28T04:33:54.000Z,2006-02-15T22:19:17.000Z
7879,291,66,1,20050708,4862,3.99,2005-07-08T19:02:46.000Z,2006-02-15T22:15:32.000Z
15655,584,226,1,20050802,11213,4.99,2005-08-02T12:18:35.000Z,2006-02-15T22:22:46.000Z
2711,100,91,2,20060214,15021,0.99,2006-02-14T15:16:03.000Z,2006-02-15T22:13:00.000Z
9383,347,772,1,20050728,8176,4.99,2005-07-28T21:42:08.000Z,2006-02-15T22:16:37.000Z
11800,438,233,1,20050616,1779,0.99,2005-06-16T18:55:11.000Z,2006-02-15T22:18:44.000Z
2776,103,370,1,20050706,3850,4.99,2005-07-06T16:51:21.000Z,2006-02-15T22:13:01.000Z
14837,553,856,2,20050707,4257,4.99,2005-07-07T14:18:41.000Z,2006-02-15T22:21:49.000Z
3352,124,408,1,20050822,15266,4.99,2005-08-22T18:37:24.000Z,2006-02-15T22:13:13.000Z
6559,242,481,1,20050818,12724,7.99,2005-08-18T21:37:20.000Z,2006-02-15T22:14:43.000Z
9558,354,958,1,20050706,3821,2.99,2005-07-06T15:36:20.000Z,2006-02-15T22:16:45.000Z
13875,515,260,2,20050731,10159,4.99,2005-07-31T22:54:30.000Z,2006-02-15T22:20:46.000Z
6266,232,181,1,20050820,13707,2.99,2005-08-20T09:33:58.000Z,2006-02-15T22:14:33.000Z
4391,161,467,1,20050801,10355,0.99,2005-08-01T05:47:37.000Z,2006-02-15T22:13:37.000Z
11393,421,575,1,20050820,13461,9.99,2005-08-20T00:49:04.000Z,2006-02-15T22:18:22.000Z
1270,46,560,2,20050728,8152,3.99,2005-07-28T20:53:05.000Z,2006-02-15T22:12:40.000Z
11936,442,145,2,20050731,9873,5.99,2005-07-31T13:32:18.000Z,2006-02-15T22:18:51.000Z
12139,450,263,2,20050618,2501,4.99,2005-06-18T23:10:11.000Z,2006-02-15T22:19:03.000Z
12998,481,546,2,20050802,11387,2.99,2005-08-02T18:32:38.000Z,2006-02-15T22:19:52.000Z
5117,188,21,1,20050801,10757,4.99,2005-08-01T20:22:44.000Z,2006-02-15T22:13:55.000Z
1352,49,520,1,20050801,10588,2.99,2005-08-01T14:10:21.000Z,2006-02-15T22:12:41.000Z
5345,197,84,1,20050802,11215,4.99,2005-08-02T12:20:42.000Z,2006-02-15T22:14:02.000Z
14420,535,728,1,20050818,12732,0.99,2005-08-18T21:57:50.000Z,2006-02-15T22:21:21.000Z
14997,560,18,1,20050707,4453,0.99,2005-07-07T23:32:39.000Z,2006-02-15T22:22:00.000Z
6825,253,914,1,20050729,8752,2.99,2005-07-29T19:15:07.000Z,2006-02-15T22:14:52.000Z
8924,330,272,1,20050729,8680,4.99,2005-07-29T16:08:03.000Z,2006-02-15T22:16:14.000Z
15296,571,121,2,20050706,3616,2.99,2005-07-06T05:52:13.000Z,2006-02-15T22:22:21.000Z
2821,104,311,2,20050819,13410,3.99,2005-08-19T22:41:44.000Z,2006-02-15T22:13:02.000Z
2393,88,363,1,20050706,3620,0.99,2005-07-06T06:01:50.000Z,2006-02-15T22:12:55.000Z
1650,60,867,1,20050615,1482,4.99,2005-06-15T21:18:16.000Z,2006-02-15T22:12:44.000Z
1699,62,949,1,20050731,10080,0.99,2005-07-31T20:07:10.000Z,2006-02-15T22:12:45.000Z
1139,41,690,1,20050731,10064,2.99,2005-07-31T19:27:02.000Z,2006-02-15T22:12:38.000Z
7281,269,571,1,20050617,1909,2.99,2005-06-17T05:11:04.000Z,2006-02-15T22:15:08.000Z
1339,49,155,2,20050706,3615,0.99,2005-07-06T05:47:47.000Z,2006-02-15T22:12:40.000Z
14324,532,111,2,20050801,10286,6.99,2005-08-01T03:35:58.000Z,2006-02-15T22:21:15.000Z
10798,399,554,2,20050801,10654,2.99,2005-08-01T16:31:35.000Z,2006-02-15T22:17:47.000Z
1143,41,154,2,20050818,12147,2.99,2005-08-18T00:10:20.000Z,2006-02-15T22:12:38.000Z
1322,48,460,1,20050729,8716,6.99,2005-07-29T17:39:09.000Z,2006-02-15T22:12:40.000Z
13060,484,827,1,20050617,2015,4.99,2005-06-17T12:16:29.000Z,2006-02-15T22:19:56.000Z
2996,111,531,2,20050822,14949,0.99,2005-08-22T06:12:16.000Z,2006-02-15T22:13:05.000Z
15173,566,744,2,20050729,8710,0.99,2005-07-29T17:26:03.000Z,2006-02-15T22:22:12.000Z
10708,395,277,1,20050821,14471,5.99,2005-08-21T13:10:40.000Z,2006-02-15T22:17:42.000Z
31,1,317,1,20050822,15298,2.99,2005-08-22T19:41:37.000Z,2006-02-15T22:12:30.000Z
13648,506,53,1,20050801,10477,2.99,2005-08-01T10:04:17.000Z,2006-02-15T22:20:32.000Z
5173,190,536,2,20050821,14166,2.99,2005-08-21T02:59:31.000Z,2006-02-15T22:13:57.000Z
9454,349,598,1,20050817,11905,3.99,2005-08-17T15:40:18.000Z,2006-02-15T22:16:41.000Z
8407,309,274,2,20050819,13021,5.99,2005-08-19T08:08:04.000Z,2006-02-15T22:15:53.000Z
3761,139,979,2,20050709,5265,7.99,2005-07-09T14:15:01.000Z,2006-02-15T22:13:21.000Z
3000,112,82,1,20050529,701,2.99,2005-05-29T02:26:27.000Z,2006-02-15T22:13:05.000Z
5071,186,467,2,20050822,15295,3.99,2005-08-22T19:36:21.000Z,2006-02-15T22:13:54.000Z
6482,240,363,1,20050710,5596,0.99,2005-07-10T04:43:14.000Z,2006-02-15T22:14:40.000Z
14377,534,839,2,20050621,3213,1.99,2005-06-21T01:05:19.000Z,2006-02-15T22:21:19.000Z
7850,290,881,2,20050707,4039,4.99,2005-07-07T02:57:59.000Z,2006-02-15T22:15:31.000Z
516,20,109,1,20050528,546,1.99,2005-05-28T07:16:25.000Z,2006-02-15T22:12:33.000Z
13601,504,86,2,20050822,15018,4.99,2005-08-22T08:52:38.000Z,2006-02-15T22:20:29.000Z
1618,58,313,1,20050822,14989,4.99,2005-08-22T07:47:07.000Z,2006-02-15T22:12:44.000Z
11025,407,367,1,20050818,12566,0.99,2005-08-18T15:13:04.000Z,2006-02-15T22:18:00.000Z
10862,402,691,1,20050706,3755,5.99,2005-07-06T12:37:16.000Z,2006-02-15T22:17:51.000Z
13483,500,122,1,20050818,12639,2.99,2005-08-18T18:13:05.000Z,2006-02-15T22:20:22.000Z
9517,352,606,2,20050711,6329,5.99,2005-07-11T19:10:38.000Z,2006-02-15T22:16:44.000Z
1303,47,42,2,20050729,8402,6.99,2005-07-29T06:25:45.000Z,2006-02-15T22:12:40.000Z
13207,489,722,1,20050822,15205,0.99,2005-08-22T16:32:23.000Z,2006-02-15T22:20:05.000Z
3098,115,387,1,20050706,3624,0.99,2005-07-06T06:06:27.000Z,2006-02-15T22:13:07.000Z
7120,263,557,2,20050818,12432,5.99,2005-08-18T10:35:13.000Z,2006-02-15T22:15:02.000Z
13465,500,777,1,20050615,1375,5.99,2005-06-15T14:54:56.000Z,2006-02-15T22:20:21.000Z
6597,244,11,1,20050709,5461,0.99,2005-07-09T22:48:04.000Z,2006-02-15T22:14:44.000Z
1265,46,334,2,20050621,3439,4.99,2005-06-21T19:36:15.000Z,2006-02-15T22:12:40.000Z
13898,516,244,1,20050712,6858,6.99,2005-07-12T19:53:51.000Z,2006-02-15T22:20:48.000Z
8109,299,766,1,20050619,2664,4.99,2005-06-19T11:11:23.000Z,2006-02-15T22:15:41.000Z
11630,431,1,1,20050708,4863,0.99,2005-07-08T19:03:15.000Z,2006-02-15T22:18:35.000Z
3490,129,271,1,20050731,10167,5.99,2005-07-31T23:24:31.000Z,2006-02-15T22:13:15.000Z
85,3,540,1,20050823,15619,2.99,2005-08-23T07:10:14.000Z,2006-02-15T22:12:30.000Z
9169,339,858,2,20050728,7973,4.99,2005-07-28T14:10:06.000Z,2006-02-15T22:16:27.000Z
11713,434,908,1,20050819,13359,9.99,2005-08-19T21:04:49.000Z,2006-02-15T22:18:39.000Z
4684,172,381,2,20050820,13937,4.99,2005-08-20T17:22:51.000Z,2006-02-15T22:13:44.000Z
